gene_id,sim_num,intron,icount
16156,500,b237e300,500
16156,1000,b237e300,1000
16156,1500,b237e300,1498
16156,1500,b154e201,2
16156,2000,b237e300,1998
16156,2000,b237e287,1
16156,2000,b154e201,1
16156,2500,b237e300,2498
16156,2500,b154e201,2
16156,3000,b237e300,2996
16156,3000,b237e287,3
16156,3000,b154e201,1
16156,3500,b237e300,3497
16156,3500,b237e287,1
16156,3500,b154e201,2
16156,4000,b237e300,3998
16156,4000,b237e287,2
16156,4500,b237e300,4500
16156,5000,b237e300,4994
16156,5000,b154e201,2
16156,5000,b237e287,2
16156,5000,b237e290,2
16156,5500,b237e300,5497
16156,5500,b154e201,2
16156,5500,b237e287,1
16156,6000,b237e300,5992
16156,6000,b237e287,7
16156,6000,b154e201,1
16156,6500,b237e300,6493
16156,6500,b237e287,4
16156,6500,b154e201,3
16156,7000,b237e300,6995
16156,7000,b154e201,2
16156,7000,b237e290,1
16156,7000,b237e287,2
16156,7500,b237e300,7489
16156,7500,b237e287,6
16156,7500,b154e201,3
16156,7500,b237e290,2
16156,8000,b237e300,7992
16156,8000,b237e287,5
16156,8000,b154e201,3
16156,8500,b237e300,8488
16156,8500,b237e287,7
16156,8500,b154e201,4
16156,8500,b237e290,1
16156,9000,b237e300,8997
16156,9000,b237e287,1
16156,9000,b237e290,1
16156,9000,b154e201,1
16156,9500,b237e300,9490
16156,9500,b237e287,4
16156,9500,b154e201,3
16156,9500,b237e290,3
16156,10000,b237e300,9989
16156,10000,b237e287,5
16156,10000,b154e201,2
16156,10000,b237e290,4
9711,500,b267e408,500
9711,1000,b267e408,1000
9711,1500,b267e408,1499
9711,1500,b267e432,1
9711,2000,b267e408,1998
9711,2000,b267e432,2
9711,2500,b267e408,2496
9711,2500,b267e432,4
9711,3000,b267e408,2994
9711,3000,b267e432,6
9711,3500,b267e408,3496
9711,3500,b267e432,4
9711,4000,b267e408,3995
9711,4000,b267e432,5
9711,4500,b267e408,4496
9711,4500,b267e432,4
9711,5000,b267e408,4999
9711,5000,b267e432,1
9711,5500,b267e408,5493
9711,5500,b267e432,7
9711,6000,b267e408,5994
9711,6000,b267e432,6
9711,6500,b267e408,6497
9711,6500,b267e432,3
9711,7000,b267e408,6993
9711,7000,b267e432,7
9711,7500,b267e408,7492
9711,7500,b267e432,8
9711,8000,b267e408,7986
9711,8000,b267e432,14
9711,8500,b267e408,8491
9711,8500,b267e432,9
9711,9000,b267e408,8987
9711,9000,b267e432,13
9711,9500,b267e408,9485
9711,9500,b267e432,15
9711,10000,b267e408,9988
9711,10000,b267e432,12
10774,500,b245e295,500
10774,1000,b245e295,999
10774,1000,b245e438,1
10774,1500,b245e295,1500
10774,2000,b245e295,2000
10774,2500,b245e295,2500
10774,3000,b245e295,3000
10774,3500,b245e295,3500
10774,4000,b245e295,3999
10774,4000,b200e295,1
10774,4500,b245e295,4500
10774,5000,b245e295,5000
10774,5500,b245e295,5498
10774,5500,b237e295,2
10774,6000,b245e295,5998
10774,6000,b245e438,1
10774,6000,b200e295,1
10774,6500,b245e295,6498
10774,6500,b245e438,1
10774,6500,b237e295,1
10774,7000,b245e295,6998
10774,7000,b245e438,1
10774,7000,b212e295,1
10774,7500,b245e295,7499
10774,7500,b245e431,1
10774,8000,b245e295,7999
10774,8000,b245e438,1
10774,8500,b245e295,8498
10774,8500,b237e295,1
10774,8500,b245e438,1
10774,9000,b245e295,9000
10774,9500,b245e295,9496
10774,9500,b237e295,3
10774,9500,b200e295,1
10774,10000,b245e295,9998
10774,10000,b200e295,1
10774,10000,b245e438,1
14746,500,b334e380,327
14746,500,b165e210,173
14746,1000,b334e380,632
14746,1000,b165e210,368
14746,1500,b334e380,967
14746,1500,b165e210,531
14746,1500,b165e218,2
14746,2000,b334e380,1260
14746,2000,b165e210,740
14746,2500,b334e380,1610
14746,2500,b165e210,890
14746,3000,b165e210,1095
14746,3000,b334e380,1904
14746,3000,b165e218,1
14746,3500,b334e380,2277
14746,3500,b165e210,1223
14746,4000,b334e380,2544
14746,4000,b165e210,1456
14746,4500,b165e210,1596
14746,4500,b334e380,2904
14746,5000,b165e210,1773
14746,5000,b334e380,3226
14746,5000,b165e218,1
14746,5500,b165e210,1963
14746,5500,b334e380,3536
14746,5500,b165e218,1
14746,6000,b334e380,3872
14746,6000,b165e210,2127
14746,6000,b165e218,1
14746,6500,b165e210,2307
14746,6500,b334e380,4193
14746,7000,b334e380,4483
14746,7000,b165e210,2517
14746,7500,b165e210,2704
14746,7500,b334e380,4795
14746,7500,b165e218,1
14746,8000,b334e380,5118
14746,8000,b165e210,2881
14746,8000,b165e218,1
14746,8500,b165e210,3115
14746,8500,b334e380,5384
14746,8500,b165e218,1
14746,9000,b334e380,5801
14746,9000,b165e210,3199
14746,9500,b334e380,6070
14746,9500,b165e210,3427
14746,9500,b165e218,3
14746,10000,b334e380,6413
14746,10000,b165e210,3586
14746,10000,b165e218,1
17838,500,b275e408,266
17838,500,b605e650,234
17838,1000,b275e408,508
17838,1000,b605e650,490
17838,1000,b366e408,1
17838,1000,b292e408,1
17838,1500,b275e408,778
17838,1500,b605e650,722
17838,2000,b605e650,985
17838,2000,b275e408,1014
17838,2000,b292e408,1
17838,2500,b605e650,1243
17838,2500,b275e408,1257
17838,3000,b275e408,1515
17838,3000,b605e650,1484
17838,3000,b366e408,1
17838,3500,b605e650,1735
17838,3500,b275e408,1763
17838,3500,b366e408,2
17838,4000,b605e650,1957
17838,4000,b275e408,2038
17838,4000,b197e408,2
17838,4000,b366e408,3
17838,4500,b605e650,2151
17838,4500,b275e408,2341
17838,4500,b366e408,4
17838,4500,b292e408,4
17838,5000,b605e650,2439
17838,5000,b275e408,2556
17838,5000,b366e408,2
17838,5000,b292e408,3
17838,5500,b605e650,2649
17838,5500,b275e408,2844
17838,5500,b292e408,2
17838,5500,b366e408,5
17838,6000,b605e650,2933
17838,6000,b275e408,3063
17838,6000,b366e408,2
17838,6000,b292e408,2
17838,6500,b605e650,3168
17838,6500,b275e408,3331
17838,6500,b366e408,1
17838,7000,b275e408,3544
17838,7000,b605e650,3449
17838,7000,b292e408,3
17838,7000,b366e408,4
17838,7500,b605e650,3646
17838,7500,b275e408,3851
17838,7500,b366e408,2
17838,7500,b292e408,1
17838,8000,b275e408,4158
17838,8000,b605e650,3831
17838,8000,b292e408,8
17838,8000,b366e408,3
17838,8500,b275e408,4373
17838,8500,b605e650,4118
