% len P	len log2(P/expect)
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000008	-7.965784284662087
0.000024	-6.380821783940931
0.000041	-5.608232280044003
0.000057	-5.132894270497346
0.000081	-4.625934281777463
0.000106	-4.237863830098888
0.000130	-3.9434164716336326
0.000163	-3.6170561304310094
0.000171	-3.547931769776189
0.000195	-3.3584539709124765
0.000252	-2.9885043611621707
0.000276	-2.8572598278839183
0.000325	-2.6214883767462704
0.000350	-2.5145731728297585
0.000407	-2.29689930039584
0.000407	-2.29689930039584
0.000423	-2.2412704315421372
0.000480	-2.0588936890535687
0.000480	-2.0588936890535687
0.000529	-1.9186603725480615
0.000561	-1.8339273240532943
0.000610	-1.7131188522118383
0.000667	-1.5842413334775023
0.000675	-1.5670405927238937
0.000740	-1.434402824145775
0.000805	-1.3129393116601076
0.000870	-1.2009126939259964
0.000919	-1.1218632333730525
0.000935	-1.0969617298870882
0.000984	-1.0232697793228471
0.001033	-0.9531597457970273
0.001114	-0.8442507673220554
0.001114	-0.8442507673220554
0.001106	-0.8546486144273802
0.001236	-0.6943212567577125
0.001236	-0.6943212567577125
0.001204	-0.732164607902385
0.001407	-0.5073776714255543
0.001456	-0.4579896444633908
0.001602	-0.32012585225337703
0.001846	-0.11559744701631293
0.002041	0.02927618237063207
0.002066	0.046840254202972664
0.002342	0.22774107583912784
0.002505	0.3248106034204836
0.002635	0.39780296186249003
0.002887	0.5295711075738947
0.003025	0.5969351423872321
0.002944	0.5577776713949258
0.003237	0.6946573655470859
0.003220	0.6870606883398924
0.003180	0.6690267655096307
0.003277	0.7123756728806726
0.003367	0.751463721165559
0.003285	0.7158933705476049
0.003594	0.8455904088478547
0.003586	0.8423754882062879
0.003619	0.8555911077104515
0.003822	0.9343277783153694
0.004155	1.0548484769956197
0.004196	1.0690146779151806
0.004383	1.1319186788625675
0.004497	1.1689628840069286
0.004464	1.1583370271671007
0.004871	1.2842179831783613
0.004912	1.2963105607080923
0.004830	1.2720231890610485
0.005099	1.3502143379664724
0.005213	1.3821138599339253
0.005229	1.3865350701847543
0.005269	1.3975291797113905
0.005221	1.3843261586858409
0.005351	1.4198085289392754
0.005579	1.4800065513859888
0.005635	1.4944156103974964
0.005432	1.4414834795826448
0.005587	1.4820738202919417
0.005595	1.4841381312016693
0.005505	1.4607425637896443
0.005611	1.4882579128079934
0.005709	1.513238062333091
0.005652	1.4987614656718524
0.005831	1.5437433227610649
0.005766	1.5275708368328196
0.005741	1.5213020556091832
0.006001	1.5852029298594328
0.005896	1.5597365244329826
0.005993	1.5832783739083431
0.006083	1.6047830042099172
0.006131	1.6161224046466804
0.006197	1.6315699683095228
0.006148	1.620117165028684
0.006034	1.5931146964846152
0.005855	1.5496691707264902
0.005936	1.5694910919587162
0.005733	1.519290279036526
0.005522	1.4651908879259823
0.005700	1.5109619192773793
0.005465	1.45022149589718
0.005245	1.3909427728025427
0.005286	1.4021764249794826
0.005091	1.3479490656017326
0.005050	1.3362833878644322
0.005253	1.393141584492627
0.005335	1.4154882710497003
0.005229	1.3865350701847543
0.005375	1.4262647547020977
0.005278	1.3999913506641812
0.005148	1.3640120535586147
0.005310	1.408711861029429
0.005335	1.4154882710497003
0.005196	1.377401430785794
0.005343	1.417650017160688
0.005286	1.4021764249794826
0.005156	1.3662522636995638
0.005148	1.3640120535586147
0.005196	1.377401430785794
0.005164	1.3684890006451036
0.005237	1.388740604787264
0.005310	1.408711861029429
0.005099	1.3502143379664724
0.005237	1.388740604787264
0.005123	1.3569888917924768
0.004904	1.2939589790286945
0.004993	1.3199069066680056
