% len P	len log2(P/expect)
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000011	-7.50635266602479
0.000065	-4.943416471633633
0.000356	-2.4900508536956893
0.001133	-0.8198521388415717
0.002795	0.4828482830684654
0.005676	1.504874589398464
0.009916	2.3097582714246347
0.015031	2.9098690886425826
0.020782	3.3772625966384617
0.026576	3.732052073300289
0.032036	4.001622119649684
0.036492	4.189508317089866
0.039977	4.321098306651864
0.042653	4.414575311997425
0.044412	4.472877636359289
0.044736	4.483364360713349
0.043344	4.437760393539928
0.040646	4.345041477590927
0.036848	4.203514411130758
0.032144	4.006477564071205
0.027234	3.767336988996963
0.022379	3.4840736661760374
0.018624	3.219091058246197
0.015592	2.9627340905958026
0.013056	2.7066410573094086
0.010952	2.4531224465958124
0.009420	2.2357270598380583
0.008254	2.0450934383449475
0.006970	1.8011586560936983
0.005978	1.5796628970160074
0.005233	1.387638258952628
0.004607	1.203827597942124
0.004208	1.0731347046302153
0.003809	0.9294122879012529
0.003474	0.7965977540483058
0.003345	0.7420062108667361
0.003129	0.6457016585788347
0.002967	0.5690049268181799
0.002913	0.5425057014782613
0.002870	0.5210507369009632
0.002751	0.45995613965412346
0.002730	0.4489009511451275
0.002698	0.4318903482861805
0.002730	0.4489009511451275
0.002568	0.36064520246021614
0.002568	0.36064520246021614
0.002428	0.279768421593595
0.002320	0.21412480535284734
0.002255	0.17312743348065618
0.002072	0.05102400302446689
0.001985	-0.010860992631767161
0.001910	-0.06642736173897607
0.001770	-0.17625063969172725
0.001651	-0.2766598797488292
0.001608	-0.31473259348315835
0.001640	-0.2863041851566411
0.001619	-0.30489701435952116
0.001608	-0.31473259348315835
0.001651	-0.2766598797488292
0.001608	-0.31473259348315835
0.001619	-0.30489701435952116
0.001619	-0.30489701435952116
0.001640	-0.2863041851566411
0.001629	-0.2960133961365693
0.001662	-0.2670796178917426
0.001586	-0.33460722895810874
0.001575	-0.3446481713874459
0.001608	-0.31473259348315835
0.001554	-0.36401349625437696
0.001511	-0.40449633949725805
0.001500	-0.4150374992788438
0.001629	-0.2960133961365693
0.001640	-0.2863041851566411
0.001629	-0.2960133961365693
0.001737	-0.20340224595169418
0.001705	-0.23022826075055236
0.001726	-0.21256753548313206
0.001694	-0.23956612532988847
0.001608	-0.31473259348315835
0.001662	-0.2670796178917426
0.001672	-0.2584251525812042
0.001575	-0.3446481713874459
0.001424	-0.49005085369568935
0.001457	-0.45699912259757464
0.001413	-0.5012385343281477
0.001252	-0.6757654377294687
0.001241	-0.6884968845317305
0.001219	-0.7143018740418748
0.001208	-0.7273795453370082
0.001219	-0.7143018740418748
0.001230	-0.7013416844354848
0.001219	-0.7143018740418748
0.001295	-0.6270479020881708
0.001306	-0.6148451031156562
0.001198	-0.7393720918733014
0.001295	-0.6270479020881708
0.001316	-0.6038405109268458
0.001349	-0.5681096517138196
0.001327	-0.5918316292918937
0.001306	-0.6148451031156562
0.001295	-0.6270479020881708
0.001241	-0.6884968845317305
0.001284	-0.6393547975397839
0.001241	-0.6884968845317305
0.001284	-0.6393547975397839
0.001327	-0.5918316292918937
0.001208	-0.7273795453370082
0.001219	-0.7143018740418748
0.001165	-0.7796700451204445
0.001144	-0.8059129478836975
0.001144	-0.8059129478836975
0.001176	-0.7661119398257227
0.001122	-0.8339273240532944
