% len exon P	exon log2(P/expect)
0.000001	-10.460028
0.000002	-10.051530
0.000002	-9.656770
0.000003	-9.275246
0.000004	-8.906477
0.000005	-8.550002
0.000007	-8.205380
0.000009	-7.872184
0.000011	-7.550009
0.000013	-7.238464
0.000016	-6.937173
0.000020	-6.645777
0.000024	-6.363931
0.000029	-6.091301
0.000035	-5.827569
0.000042	-5.572428
0.000050	-5.325584
0.000059	-5.086754
0.000069	-4.855665
0.000081	-4.632055
0.000094	-4.415673
0.000108	-4.206277
0.000125	-4.003632
0.000143	-3.807516
0.000163	-3.617711
0.000185	-3.434011
0.000209	-3.256214
0.000236	-3.084129
0.000265	-2.917569
0.000296	-2.756355
0.000330	-2.600316
0.000366	-2.449284
0.000405	-2.303100
0.000447	-2.161610
0.000492	-2.024664
0.000539	-1.892119
0.000589	-1.763836
0.000642	-1.639682
0.000698	-1.519529
0.000756	-1.403250
0.000817	-1.290727
0.000882	-1.181844
0.000948	-1.076488
0.001018	-0.974552
0.001090	-0.875931
0.001164	-0.780524
0.001241	-0.688235
0.001320	-0.598969
0.001402	-0.512634
0.001485	-0.429144
0.001571	-0.348413
0.001658	-0.270359
0.001747	-0.194903
0.001838	-0.121968
0.001930	-0.051479
0.002023	0.016635
0.002118	0.082443
0.002213	0.146013
0.002309	0.207410
0.002406	0.266697
0.002503	0.323934
0.002601	0.379182
0.002699	0.432496
0.002797	0.483932
0.002895	0.533545
0.002993	0.581385
0.003090	0.627503
0.003186	0.671947
0.003282	0.714765
0.003378	0.756003
0.003472	0.795704
0.003565	0.833912
0.003657	0.870669
0.003748	0.906014
0.003837	0.939986
0.003925	0.972625
0.004011	1.003966
0.004096	1.034045
0.004178	1.062897
0.004259	1.090555
0.004338	1.117052
0.004415	1.142419
0.004490	1.166688
0.004563	1.189887
0.004633	1.212047
0.004702	1.233194
0.004768	1.253357
0.004832	1.272561
0.004893	1.290832
0.004953	1.308195
0.005010	1.324675
0.005064	1.340294
0.005116	1.355076
0.005166	1.369044
0.005213	1.382217
0.005258	1.394618
0.005301	1.406267
0.005341	1.417183
0.005379	1.427386
0.005415	1.436895
0.005448	1.445727
0.005479	1.453901
0.005508	1.461433
0.005534	1.468341
0.005558	1.474639
0.005580	1.480345
0.005600	1.485474
0.005618	1.490040
0.005634	1.494059
0.005647	1.497543
0.005659	1.500508
0.005668	1.502966
0.005676	1.504931
0.005682	1.506414
0.005686	1.507429
0.005688	1.507988
0.005689	1.508102
0.005687	1.507782
0.005685	1.507040
0.005680	1.505887
0.005674	1.504332
0.005666	1.502386
0.005657	1.500060
0.005647	1.497363
0.005635	1.494304
0.005621	1.490892
0.005607	1.487137
0.005591	1.483047
0.005574	1.478631
0.005555	1.473897
0.005536	1.468853
0.005516	1.463507
0.005494	1.457866
0.005472	1.451939
0.005448	1.445732
0.005424	1.439253
0.005398	1.432508
0.005372	1.425505
0.005345	1.418249
0.005317	1.410748
0.005289	1.403007
0.005260	1.395032
0.005230	1.386830
0.005200	1.378407
0.005169	1.369767
0.005137	1.360918
0.005105	1.351863
0.005072	1.342608
0.005039	1.333158
0.005006	1.323519
0.004972	1.313695
0.004937	1.303691
0.004902	1.293511
0.004867	1.283161
0.004832	1.272644
0.004796	1.261965
0.004761	1.251128
0.004724	1.240137
0.004688	1.228996
0.004652	1.217709
0.004615	1.206281
0.004578	1.194713
0.004541	1.183011
0.004504	1.171178
0.004467	1.159218
0.004429	1.147132
0.004392	1.134926
0.004355	1.122602
0.004317	1.110164
0.004280	1.097614
0.004243	1.084955
0.004205	1.072191
0.004168	1.059324
0.004131	1.046357
0.004093	1.033292
0.004056	1.020134
0.004019	1.006883
0.003982	0.993543
0.003945	0.980116
0.003908	0.966605
0.003872	0.953011
0.003835	0.939338
0.003799	0.925587
0.003763	0.911761
0.003727	0.897862
0.003691	0.883892
0.003655	0.869853
0.003619	0.855747
0.003584	0.841576
0.003549	0.827342
0.003514	0.813047
0.003479	0.798692
0.003444	0.784280
0.003410	0.769813
0.003376	0.755291
0.003342	0.740718
0.003308	0.726093
0.003275	0.711419
0.003242	0.696698
0.003209	0.681931
0.003176	0.667120
0.003143	0.652265
0.003111	0.637369
0.003079	0.622433
