% EVD params: a: 0.9365572898359593 b: 13.978311618495539 g 37.74986755429083
% len intron P	intron log2(P/expect)
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-100
0.000000	-46.154117
0.000490	-2.029353
0.009110	2.187442
0.022401	3.485504
0.031837	3.992651
0.036561	4.192249
0.038027	4.248963
0.037588	4.232182
0.036134	4.175285
0.034198	4.095844
0.032083	4.003717
0.029954	3.904700
0.027902	3.802315
0.025970	3.698752
0.024174	3.595392
0.022520	3.493108
0.021002	3.392451
0.019613	3.293757
0.018344	3.197223
0.017184	3.102953
0.016122	3.010985
0.015151	2.921320
0.014260	2.833925
0.013443	2.748753
0.012691	2.665744
0.011999	2.584829
0.011360	2.505937
0.010770	2.428994
0.010224	2.353929
0.009718	2.280668
0.009248	2.209142
0.008811	2.139281
0.008404	2.071020
0.008024	2.004295
0.007669	1.939047
0.007337	1.875217
0.007026	1.812750
0.006735	1.751593
0.006461	1.691698
0.006203	1.633015
0.005961	1.575500
0.005732	1.519111
0.005517	1.463805
0.005313	1.409544
0.005121	1.356291
0.004938	1.304011
0.004766	1.252671
0.004602	1.202237
0.004447	1.152681
0.004299	1.103973
0.004159	1.056085
0.004025	1.008990
0.003898	0.962665
0.003777	0.917084
0.003661	0.872225
0.003551	0.828066
0.003445	0.784585
0.003344	0.741763
0.003248	0.699580
0.003156	0.658019
0.003067	0.617060
0.002983	0.576687
0.002902	0.536885
0.002824	0.497637
0.002749	0.458928
0.002677	0.420744
0.002608	0.383071
0.002542	0.345896
0.002478	0.309206
0.002417	0.272988
0.002357	0.237232
0.002300	0.201924
0.002246	0.167055
0.002193	0.132613
0.002141	0.098589
0.002092	0.064972
0.002045	0.031753
0.001999	-0.001077
0.001954	-0.033528
0.001911	-0.065607
0.001870	-0.097324
0.001829	-0.128685
0.001790	-0.159700
0.001753	-0.190375
0.001716	-0.220719
0.001681	-0.250737
0.001647	-0.280436
0.001613	-0.309825
0.001581	-0.338908
0.001550	-0.367692
0.001520	-0.396183
0.001490	-0.424387
0.001462	-0.452310
0.001434	-0.479957
0.001407	-0.507334
0.001381	-0.534446
0.001355	-0.561297
0.001331	-0.587893
0.001307	-0.614239
0.001283	-0.640338
0.001260	-0.666197
0.001238	-0.691819
0.001217	-0.717208
0.001196	-0.742368
0.001175	-0.767305
0.001155	-0.792021
0.001136	-0.816520
0.001117	-0.840807
0.001098	-0.864884
0.001080	-0.888756
0.001063	-0.912426
0.001045	-0.935896
0.001029	-0.959172
0.001012	-0.982255
0.000996	-1.005149
0.000981	-1.027858
0.000966	-1.050383
0.000951	-1.072728
0.000936	-1.094895
0.000922	-1.116889
0.000908	-1.138710
0.000895	-1.160363
0.000882	-1.181849
0.000869	-1.203170
0.000856	-1.224331
0.000844	-1.245332
0.000832	-1.266177
0.000820	-1.286867
0.000808	-1.307405
0.000797	-1.327794
0.000786	-1.348034
0.000775	-1.368129
0.000764	-1.388080
0.000754	-1.407890
0.000744	-1.427560
0.000734	-1.447093
0.000724	-1.466490
0.000714	-1.485753
0.000705	-1.504885
0.000695	-1.523886
0.000686	-1.542759
0.000678	-1.561505
0.000669	-1.580126
0.000660	-1.598623
0.000652	-1.616999
0.000644	-1.635255
0.000636	-1.653392
