seq	don	acc	emm	imm	elen	ilen	cost	fit
ch.17439	1.4116929674229763	1.2748969599915996	0.6082412300637118	0.7830377880910441	1.4344606002519746	1.8600715913260044	22	0.0001432763968838472
ch.1828	1.6901128277103181	0.7734375011902492	0.192455820581111	1.1643172579167107	0.8976614908682972	2.354616544750858	42	0.0003004043905246262
ch.11658	0.763346353513241	0.5341150178473297	0.38587740894908007	0.8499246136209646	0.11602364219902006	0.2723485309482844	33	0.6698704394294701
ch.11741	1.873270506762318	1.5830557532782423	1.2958612155620068	0.6095256583019065	2.5429112441543236	1.3008387308463425	49	1.4337151409030546e-06
ch.16148	1.4407584941835414	0.9022784089381428	0.9036451406720624	1.028870119479568	-0.09209864483330121	0.634430786735528	59	0.00014866037625885074
ch.16150	1.0872241037324994	1.7791595204992257	0.33930096814946187	0.20458608657009592	0.9957804845510125	1.1978863079795032	58	2.195242087166373e-05
ch.4463	0.7737601471107	1.291526271843809	0.9487028313478554	0.999914339483615	-0.23421062960208539	1.815500203279435	76	0.0012845853256019965
ch.13115	1.773744160022479	1.4210659616550496	1.2586567036275316	0.5638981898504091	0.21699017929351505	1.3700452207214044	5	0.00023155613995741724
ch.13114	4.516144630620688	1.6635433394972332	3.407562681014759	1.1699832801448082	-1.1583097558973252	1.6528575605105704	89	1.019801161325332e-10
ch.13118	4.620721829677411	1.997413613163556	1.3807648770732874	1.2574610437666114	0.1223167973450271	2.7513665228363338	29	1.3040088750335766e-10
ch.14203	4.497512362252366	2.09196115555205	1.9171793854672774	1.7570226667911806	0.6047895853124134	2.382426994842376	96	3.9325367623241716e-15
ch.12547	2.394346327169866	1.427820469130221	0.8634413153215376	1.5053704552648668	0.7612357219421587	0.9170879431059213	9	9.523615540685067e-05
ch.14947	0.6679149214624208	1.0874858544435653	0.4177306487710085	1.3172240144098901	0.033775217687259884	1.287301995749378	11	0.01656229962209235
ch.636	2.793227120765862	1.2322733881760906	-0.35072727878530696	1.24492062699611	1.9856192971362168	0.340750514833552	30	4.588366116181121e-05
ch.7784	4.185602707033881	1.930910253833533	2.6753171509466926	1.172385085458888	1.548620761780065	3.63606522727894	63	2.7648413707733526e-11
ch.2394	0.8471184660501632	2.3221905512591006	1.2831020435292233	0.19258384553274244	-1.2694666474697875	5.680621825823375	24	0.010941634265684128
ch.12477	4.594665378501123	3.1752115911635994	0.05348511519367605	-0.1474201653965883	1.5258007483482183	1.8433914159861131	68	0.000893440546197795
ch.11820	2.000219551817318	1.1718017837276273	0.67857257586466	1.9256545954670246	1.0044943430908309	3.2212852193218042	22	1.0799226287690547e-05
ch.217	-1.4417088348998233	1.3768847934775827	-0.7002008581921605	0.3309416920096291	2.4956784612074943	3.60772165632295	42	0.010917697140781477
ch.5281	0.8325334827836223	2.29524557862404	2.102191030706832	2.6748610198057325	1.105506305012692	1.5486192609187532	33	0.0001773390645409195
ch.2849	1.0861453250386297	1.4009128075281734	0.7366801493362077	0.3568301545856837	0.8365665263319397	1.383892816225757	100	2.07737807638662e-05
ch.178	4.127210054906129	1.9692415245118264	2.210353639830876	2.1563733034758243	0.9418056455897564	-0.3674637396732562	80	0.0019334401512204915
ch.9795	2.2327410695379895	2.7711823516356326	1.743118858707048	1.0712785496915649	0.18267869179675067	0.9906297744037738	42	1.1466162267735864e-05
ch.15918	2.0882459766091426	0.7467429004108407	0.4718351178781437	1.5179509928161192	0.29351633585931036	-1.327957442332731	76	3.427657753771595e-06
ch.8057	1.5365536811715423	1.4499129060289786	1.6485566394725348	0.7546007975221657	0.5038273075320815	1.8621354010296138	86	0.000411409146366966
ch.9346	2.222694746070969	1.725219804758781	3.074261006021074	2.78030380934588	1.8561269395402131	1.9023133567216264	69	0.0001231004286964585
ch.5273	1.3782474520360557	1.1408030167538334	0.7988834250089349	0.9677179556360556	0.28914074914862253	1.573202939289315	26	0.0003280525977639301
ch.16829	1.2143665427965886	1.445611463984782	1.1081738016658873	0.9383929582094149	0.9439784135092154	1.3132503917151632	38	0.0015148060234620132
ch.11746	3.091143025237454	0.6301396248546438	-0.843804196674019	1.3829723631334392	1.755189006309259	1.1263575316046803	65	0.000497651841688689
ch.7819	4.127596878211468	1.9400104340348951	2.066410801661309	-1.424294956630432	2.0540555371318083	3.1998667647754635	75	0.00012656994729534583
ch.10697	1.8060795752994665	1.270713390561093	0.3965665066136038	-0.12764410632591716	2.190669648966055	1.139974779609692	83	6.612808187203092e-06
ch.13057	2.4793828615609375	0.9102612348214124	0.9445609476948977	0.3438528556974598	-0.8087879930418439	1.1546536714642148	99	0.0002135191828943175
ch.4244	1.61607296621218	2.480088018913099	-0.6911142852494286	0.39595514116475883	-0.6874544475391909	-0.1954749948178578	63	1.3637630510546521
ch.2850	1.119480132267396	1.6123512408290837	0.7579173921680938	0.12628753600816545	0.7515316884463102	1.2398100144783888	71	8.060142403288829e-05
ch.10699	2.041853514099002	0.3946332170314497	0.8068046935742023	0.5195091901684945	-0.46496300638114296	1.7727796563902327	89	0.2736143192261394
ch.8269	2.1273789984424467	0.7487568814789662	0.8263927898956691	0.9512804331289829	0.8647116212091861	1.3868652783735145	30	0.0007371490351518914
ch.13952	3.5905037121550367	1.9085699101915075	0.7230222991968459	1.7035588249103197	-0.18460643417023248	2.7591022417683377	84	0.00010869341983513259
ch.16827	3.0732271940227505	1.9132117734534198	0.16399783380356814	2.1513991449885546	0.4826135762685376	0.8603787751437747	42	7.444226889183528e-07
ch.13112	2.9010875692447478	0.839106765927559	1.5429530975079864	0.7860967577702088	0.9738882188359796	1.2568166107696213	38	6.203003632083702e-05
ch.5338	1.541019200179456	1.1723843679613593	1.5640464276223063	0.7653707340170133	0.33005814718399407	1.161802046606394	13	0.0012844243975515242
ch.8516	3.429596817255302	1.7300610281320101	0.9847343087141193	3.045823930200492	0.23454706208322618	4.008758270729219	53	7.817830653506495e-10
ch.13584	3.8626873261329044	2.750455809686783	-0.7075473870272748	0.6903532044605162	-0.06669309184706429	0.15618317968371742	81	4.553558034008796e-10
ch.8237	4.203632873967615	1.6827172546257394	1.52371851147265	0.4162182089759584	0.35634288158655125	0.4683276922867111	84	5.2360216472781874e-06
ch.453	1.5654821894464248	1.686135568654601	-0.44369289800369727	0.9582964374739477	1.039977412267008	1.6987263538030968	86	7.988095733695639e-05
ch.6964	1.8910261349577184	0.5479018564600152	1.9329680370597893	1.009259232404478	0.795207195275062	1.4040837462177098	8	0.02853137716192087
ch.8517	3.193939910775267	0.7651391689095145	1.6061361238657716	1.2129034492371715	0.909780334161203	1.47879705276667	81	1.5130912978722172e-05
ch.8906	1.2656751810572038	1.4587620043658605	-2.4498153380159646	2.580215529505263	1.332317824365057	4.324680566229352	76	0.0027388382338232775
ch.11745	1.9572680093753503	0.5801088242255383	1.1585842845535392	1.0862181753600169	0.6579053173890805	1.851494709386318	66	0.004168547155914594
ch.13725	1.1939653067587381	0.6419155726772079	-1.4908220453776433	1.5075168402690116	0.6310023527634838	2.5381036381998783	76	0.0072504935562093566
ch.11744	1.2953634496539448	0.7203857956809093	-0.07575529246850365	0.8933417651038162	2.0106912884230272	0.22463553023480742	14	0.004338582918530302
ch.7069	2.4758649595858158	1.6253960431617187	1.194804691202013	0.8632709807805264	0.41691751390995346	1.1057859273605701	62	1.6184843031335637e-05
ch.1033	1.9539588983602028	1.9435480572683084	0.9283515010026876	0.3287130047282407	1.4488026703118966	1.2048927185931158	74	1.4676961870598512e-05
ch.11157	2.9849045607670055	0.2614279324116703	0.9998306771521358	2.8192559309519103	1.762776728535974	0.3174428459933526	87	4.3305450937681665e-05
ch.5788	1.6711272520829819	1.2138513712945214	1.8806040846651235	1.9196400801304605	0.2128651899960845	1.7175969192331921	27	0.0004772436567562428
ch.8667	0.6751737839419102	1.1170584061029605	0.9890095128822871	1.6880724911038978	0.7500385980087665	2.4686921508914557	84	0.0018139573598211745
ch.7541	1.342040280833138	0.8345515911371689	0.45986389509573744	1.43235688589959	0.6876022626424477	2.227163372092623	30	0.002749625148756047
ch.11940	1.8702673360844067	1.185961277098615	1.4144583430598499	0.510244818751065	0.7599318551016636	0.2864618233908418	46	8.560285151898916e-05
