gid,fitness,wacc,wdon,wexs,wins,wexl,winl,winf
1.429,0.7500,0.8282,0.9755,0.0011,0.1707,0.9887,0.0146,0.9964
3.36,0.6798,0.9908,0.9926,0.0001,0.0010,0.9617,0.4918,0.9961
1.133,0.5877,0.9883,0.6098,0.0005,0.9925,0.0011,0.0065,0.9966
1.72,0.0092,0.9965,0.9983,0.0156,0.9999,0.0052,0.9999,0.9979
1.341,0.6659,0.0024,0.9937,0.0022,0.7453,0.9910,0.0067,0.9954
1.473,0.8217,0.0396,0.9989,0.0046,0.0009,0.7601,0.0017,0.9917
2.210,0.8003,0.9995,0.9997,0.9996,0.9977,0.6123,0.9958,0.9918
1.298,0.6671,0.0749,0.9936,0.0002,0.4550,0.9981,0.0127,0.9991
2.113,0.5009,0.9899,0.9958,0.0012,0.9985,0.9990,0.9985,0.9969
1.166,0.5367,0.5491,0.9959,0.0111,0.0030,0.0208,0.1510,0.9916
2.52,0.3483,0.9850,0.9975,0.1134,0.0035,0.0108,0.0020,0.9839
1.316,0.7604,0.9862,0.9999,0.0016,0.7766,1.0000,0.9988,0.9746
1.273,0.6670,0.9776,0.9222,0.0001,0.9953,0.9987,0.0029,0.9950
1.134,0.5795,0.6390,0.9943,0.0018,0.9986,0.9993,0.9947,0.9968
3.32,0.2698,0.9892,0.9992,0.1695,0.9934,0.5959,0.9982,0.9948
1.373,0.9999,0.7262,0.7327,0.1460,0.6340,0.0188,0.3421,0.5611
2.243,0.4492,0.9993,0.9900,0.0179,0.9900,0.2764,0.0040,0.9982
2.245,0.5000,0.5253,0.9953,0.0011,0.9951,0.9926,0.0019,0.9954
2.228,0.5129,0.9988,0.9970,0.0068,0.9971,0.5223,0.0079,0.9981
4.2,0.4135,0.9900,0.9970,0.5294,0.9997,0.5881,0.9947,0.9948
1.402,0.9976,0.3896,0.9998,0.3936,0.5053,0.3000,0.4002,0.1287
1.60,0.0973,0.9987,0.9956,0.1003,0.9859,0.0104,0.9944,0.9997
1.58,0.1200,0.9942,0.6044,0.0010,0.9988,0.0098,0.3841,0.9975
1.55,0.0742,0.9999,0.9970,0.8085,0.0012,0.0030,0.9916,0.9991
1.314,0.7515,0.8615,0.0080,0.2828,0.0063,0.9996,0.0018,0.9998
1.19,0.0023,0.9884,0.9951,0.0039,0.9995,0.9770,0.9888,0.9998
1.399,0.6709,0.7732,0.9990,0.0092,0.9984,0.9997,0.7571,0.9988
1.205,0.5968,0.9618,0.9968,0.0047,0.9958,0.0023,0.1650,0.9978
3.11,0.2832,0.9989,0.0021,0.7738,0.9918,0.8685,0.9995,0.9902
1.180,0.5205,0.9999,0.5092,0.1437,0.7329,0.0021,0.5946,0.9913
1.221,0.5007,0.9962,0.9430,0.0003,0.9946,0.6640,0.0070,0.9947
2.37,0.5873,0.4456,0.0006,0.1097,0.0137,0.9972,0.0058,0.9998
2.54,0.6413,0.3786,0.9994,0.0034,0.6137,0.9968,0.9954,0.0046
1.93,0.1599,0.9927,0.6753,0.0323,0.2083,0.0157,0.0003,0.9987
1.418,1.0000,0.9025,0.8174,0.9364,0.4274,0.3521,0.7992,0.8349
1.174,0.1292,0.2767,0.9990,0.0100,0.2036,0.0084,0.0021,0.9846
2.103,0.3355,0.9901,0.2921,0.0013,0.5964,0.0019,0.0005,0.9949
1.517,1.0000,0.1331,0.9472,0.8359,0.6770,0.1093,0.4004,0.6593
2.262,0.8002,0.9935,0.9937,0.0081,0.9793,0.9977,0.0395,0.9971
2.10,0.1033,0.9814,0.9968,0.0055,0.9917,0.0020,0.5885,0.9965
1.386,1.0000,0.9002,0.7623,0.0678,0.4272,0.2978,0.9606,0.0058
1.56,0.0114,0.9986,0.9925,0.0097,0.9996,0.0004,0.0002,0.9899
1.478,0.7497,0.9986,0.8934,0.0061,0.0013,0.9911,0.0045,0.9992
1.63,0.5203,0.9983,0.9976,0.0039,0.4253,0.9868,0.9993,0.9958
1.335,0.4024,0.9977,0.9928,0.0065,0.3779,0.9996,0.0033,0.9746
2.147,0.8003,0.2235,0.9849,0.0036,0.0036,0.0095,0.0072,0.9905
1.32,0.5409,0.9960,0.9940,0.6621,0.9956,0.0020,0.0005,0.9874
1.198,0.6753,0.9983,0.9992,0.0938,0.0018,0.9929,0.9922,0.0061
1.200,0.5000,0.9988,0.3347,0.0040,0.9922,0.0074,0.0001,0.9995
2.79,0.3338,0.9997,0.9983,0.0023,0.9879,0.0020,0.0046,0.9849
1.436,0.0566,0.9869,0.9967,0.2380,0.3725,0.0072,0.9974,0.9994
1.495,0.8289,0.0472,0.9986,0.0009,0.2052,0.0262,0.1199,0.9935
