# id	length	introns	RNAseq	isoforms
ch.19857	479	1	418741	29
ch.2110	481	1	346144	34
ch.13301	396	1	137382	38
ch.13394	510	1	536211	39
ch.18368	531	1	560239	55
ch.18370	656	1	1456100	75
ch.5124	548	1	348866	85
ch.14924	563	1	120907	88
ch.14923	535	1	150371	97
ch.14927	572	1	111841	99
ch.16147	595	1	114292	99
ch.14292	538	1	29018400	123
ch.16979	716	1	436152	148
ch.750	551	1	43834400	153
ch.8870	550	1	109487	191
ch.2762	553	1	421472	211
ch.14219	535	1	149915	267
ch.13484	537	1	5547140	276
ch.266	594	1	824451	277
ch.6017	579	1	1479470	293
ch.3287	522	1	807866	336
ch.216	648	1	682989	347
ch.11169	534	1	431647	401
ch.18100	701	1	1826950	451
ch.10662	598	1	290673	471
ch.9183	591	1	407146	471
ch.6008	584	1	292585	477
ch.19154	557	1	994753	507
ch.13399	593	1	3314360	539
ch.8909	545	1	1372690	549
ch.12210	524	1	554603	581
ch.14861	622	1	116826	582
ch.4878	621	1	418119	599
ch.10857	678	1	1949550	641
ch.3288	532	1	383317	649
ch.12212	521	1	129516	670
ch.9434	570	1	122042	690
ch.15869	604	1	2482110	734
ch.19152	603	1	552692	743
ch.14921	618	1	290173	801
ch.15458	722	0	769841	819
ch.6082	694	2	429365	837
ch.9726	573	1	203802	844
ch.15456	644	1	352041	851
ch.9395	507	1	17176400	870
ch.540	520	1	221986	885
ch.7954	720	2	1452000	901
ch.9727	637	1	190321	905
ch.10164	599	1	225111	946
ch.13398	617	1	591279	975
ch.15612	542	1	173683	986
ch.13397	623	1	1521120	1007
ch.8073	635	1	370634	1048
ch.1205	616	1	2120170	1101
ch.12743	713	1	738921	1121
ch.12535	657	0	585992	1135
ch.6611	563	1	259185	1157
ch.9902	669	1	463918	1184
ch.8594	620	1	232434	1201
ch.13615	585	1	4415550	1363
ch.5721	669	1	215725	1469
ch.5826	598	1	5319370	1481
ch.7376	571	1	546512	1502
ch.6249	740	2	745524	1527
ch.8342	656	2	2193660	1926
ch.6757	694	1	1831880	2220
ch.15760	619	1	442722	2263
ch.11420	586	1	232028	2303
ch.6870	613	1	901164	2703
ch.17744	689	1	133192	2705
ch.18672	585	1	3378800	2757
ch.6233	621	1	1075180	2771
ch.6749	708	1	1268240	2845
ch.15091	686	1	4742840	2857
ch.6632	600	1	539627	3025
ch.5647	548	1	505946	3147
ch.15164	592	1	3668820	3273
ch.14637	567	0	337175	3431
ch.370	710	1	144299	3432
ch.7494	720	2	422841	3513
ch.14672	628	1	214099	3538
ch.1078	703	2	358889	3611
ch.269	690	1	19580800	3666
ch.14626	687	1	9848300	3687
ch.14627	687	1	9869380	3687
ch.18136	639	1	671190	3727
ch.1201	598	1	320894	3878
ch.15173	619	1	315151	3895
ch.6707	735	1	222201	3900
ch.7824	654	2	20362500	3901
ch.18676	618	1	9983050	3949
ch.13709	615	1	721080	3950
ch.19955	653	1	395097	4045
ch.2011	690	1	1172750	4177
ch.1184	609	1	364084	4185
ch.18761	700	1	186397	4205
ch.19517	634	1	134748	4280
ch.6114	704	1	1086010	4353
ch.18875	635	1	293882	4363
ch.6059	614	1	152925	4518
ch.18881	622	1	293805	4610
ch.7287	608	1	413007	4841
ch.12718	728	1	142697	4877
ch.298	663	1	449660	5233
ch.14071	745	1	1701750	5298
ch.267	706	1	1819810	5666
ch.1740	785	1	132731	5679
ch.10992	750	1	116350	5750
ch.15597	749	1	182535	5803
ch.7631	872	2	187526	5888
ch.13614	639	1	2710080	5945
ch.9929	679	1	108211	5986
ch.19526	616	1	218237	6010
ch.19851	679	1	251228	6047
ch.9513	830	2	571515	6115
ch.18450	651	1	1487660	6165
ch.9832	602	1	452526	6318
ch.14065	684	1	462516	6337
ch.14621	613	1	776116	6742
ch.19877	628	1	190244	6969
ch.620	687	1	3384620	7029
ch.749	603	1	3613520	7125
ch.6528	808	1	621032	7198
ch.18451	644	1	1265880	7485
ch.302	772	1	360922	7651
ch.11905	693	1	537568	8032
ch.12745	719	1	138981	8059
ch.10253	713	1	157472	8255
ch.7206	797	2	584531	8255
ch.18452	637	1	117505	8389
ch.10955	670	1	518243	8467
ch.18895	644	1	284193	8611
