seq	don	acc	emm	imm	elen	ilen	cost	fit
ch.17439	45	36	53	36	53	63	29	0
ch.1828	64	21	52	37	48	69	62	0
ch.11658	37	27	54	52	44	48	4	33
ch.11741	54	47	58	39	61	59	91	0
ch.16148	48	28	55	40	30	53	56	0
ch.16150	42	37	58	37	42	62	34	0
ch.4463	40	49	59	36	27	64	87	0
ch.13115	56	34	59	42	38	57	11	0
ch.13114	86	51	83	37	16	76	83	0
ch.13118	100	73	66	63	31	68	100	0
ch.14203	91	60	80	56	42	69	68	0
ch.12547	64	39	49	44	38	43	62	0
ch.14947	41	26	59	28	38	48	10	0
ch.636	65	38	55	64	74	51	69	0
ch.7784	83	44	93	41	45	84	81	0
ch.2394	35	50	60	20	14	92	45	1
ch.11557	35	26	57	38	40	46	44	95
ch.12477	79	100	45	31	28	66	87	0
ch.11820	59	24	71	58	38	79	31	0
ch.217	14	41	37	31	49	95	45	0
ch.5281	38	85	76	66	47	45	20	0
ch.2849	42	45	52	40	49	60	75	0
ch.178	86	71	70	50	48	31	68	0
ch.9795	59	57	62	48	45	52	88	0
ch.15918	61	40	53	42	27	39	92	0
ch.8057	51	53	60	38	36	59	46	0
ch.9346	58	47	82	65	45	59	45	0
ch.5273	47	27	63	46	36	62	38	0
ch.16829	39	35	58	47	53	59	39	0
ch.11746	70	23	33	43	42	57	37	0
ch.7819	86	57	68	0	40	80	29	0
ch.10697	51	39	58	34	43	57	82	0
ch.13057	70	26	62	34	13	59	36	0
ch.4244	49	78	38	31	33	38	63	67
ch.9527	33	13	62	54	47	53	13	1
ch.2850	43	43	52	33	33	60	64	0
ch.10699	60	16	54	32	38	57	66	12
ch.8269	57	31	57	40	36	61	26	0
ch.13952	71	42	50	41	47	85	96	0
ch.16827	65	57	56	64	40	50	47	0
ch.13112	63	37	63	43	33	48	31	0
ch.13585	54	23	61	34	40	54	30	0
ch.5338	54	38	62	38	50	56	22	0
ch.8516	82	54	60	74	36	86	91	0
ch.13584	85	83	45	39	27	43	68	0
ch.8237	86	42	54	30	42	45	40	0
ch.453	52	51	47	27	40	65	68	0
ch.6964	55	27	71	42	52	69	11	0
ch.8517	78	26	71	46	43	57	54	0
ch.8906	30	45	16	62	58	100	81	0
ch.11745	47	24	74	60	43	54	34	0
ch.13725	42	20	23	49	45	73	87	0
ch.11744	45	24	47	39	59	42	14	0
ch.7069	62	45	59	38	41	54	94	0
ch.1033	55	48	63	37	55	54	98	0
ch.11157	69	0	64	69	41	52	67	0
ch.10974	68	50	77	34	25	32	97	0
ch.5788	52	58	65	46	38	66	48	0
ch.8667	43	29	61	55	48	72	90	0
ch.7541	47	36	47	33	46	65	30	0
ch.11940	53	33	65	36	66	50	67	0
ch.5013	66	59	66	37	27	70	66	0
ch.5109	61	28	69	49	25	62	34	0
